"publish_date","Central Asia","Eastern Asia","Eastern Europe","Latin America and the Caribbean","Northern Africa","Northern America","Oceania","Others","South-eastern Asia","Southern Asia","Sub-Saharan Africa","West Europe","Western Asia"
2020-11-25,13.1428571428571,15,1707.14285714286,1490.57142857143,210.571428571429,1587.71428571429,2.28571428571429,13.8571428571429,172,1127.14285714286,134.285714285714,3089.42857142857,413.428571428571
2020-11-26,13,16.7142857142857,1716.42857142857,1630.28571428571,184,1658.71428571429,2.42857142857143,13.4285714285714,162.428571428571,1126,135.428571428571,3108.57142857143,410.571428571429
2020-11-27,12.8571428571429,17.5714285714286,1725.71428571429,1649.71428571429,183.571428571429,1718,2.85714285714286,13.5714285714286,169.714285714286,1127,128,3152,414.428571428571
2020-11-28,13.1428571428571,18.5714285714286,1738.57142857143,1669,172.571428571429,1626.71428571429,2.71428571428571,13.7142857142857,180.571428571429,1149.28571428571,126.857142857143,3183.14285714286,418.571428571429
2020-11-29,14.2857142857143,21.5714285714286,1758.14285714286,1590.28571428571,177.142857142857,1548,2.57142857142857,13,184.428571428571,1008.14285714286,120.571428571429,3210.71428571429,429.428571428571
2020-11-30,14.1428571428571,22.2857142857143,1760.28571428571,1497.14285714286,161.285714285714,1512.14285714286,2.28571428571429,13.8571428571429,193.142857142857,927.428571428571,113.428571428571,3232,437.571428571429
2020-12-01,14.2857142857143,23.8571428571429,1778.85714285714,1655.42857142857,174.714285714286,1512.42857142857,2,13.7142857142857,191.285714285714,963.571428571429,102.428571428571,3192.28571428571,447.142857142857
2020-12-02,14,26.4285714285714,1776.42857142857,1769.28571428571,157,1552.57142857143,1.71428571428571,13.2857142857143,200.285714285714,1094,113.857142857143,3168.28571428571,440
2020-12-03,13.7142857142857,29.5714285714286,1782.71428571429,1724,171.571428571429,1607.14285714286,1.57142857142857,13.2857142857143,200.571428571429,1018.71428571429,103.142857142857,3164.85714285714,446.285714285714
2020-12-04,13.4285714285714,30.2857142857143,1812.28571428571,1682,168.285714285714,1682.14285714286,1.14285714285714,14.2857142857143,198.285714285714,998.142857142857,107,3160.85714285714,458.571428571429
